iter	Passed	Remaining
0	0	98
1	2	117
2	3	125
3	4	115
4	5	113
5	6	109
6	8	111
7	9	109
8	10	109
9	11	106
10	12	104
11	14	105
12	15	102
13	16	99
14	17	97
15	18	95
16	19	93
17	20	91
18	21	91
19	22	90
20	23	88
21	24	87
22	25	85
23	27	85
24	28	84
25	29	83
26	30	82
27	31	80
28	32	80
29	33	78
30	34	77
31	35	76
32	36	74
33	37	73
34	39	72
35	40	71
36	41	70
37	42	69
38	43	68
39	45	68
40	46	66
41	46	64
42	47	63
43	48	61
44	49	60
45	50	58
46	51	58
47	52	57
48	53	55
49	54	54
50	55	53
51	57	52
52	58	51
53	59	50
54	60	49
55	61	48
56	62	46
57	63	45
58	64	44
59	65	43
60	66	42
61	67	41
62	68	40
63	69	39
64	71	38
65	72	37
66	73	36
67	74	34
68	75	33
69	76	32
70	77	31
71	78	30
72	79	29
73	81	28
74	82	27
75	83	26
76	84	25
77	85	24
78	86	22
79	87	21
80	88	20
81	89	19
82	90	18
83	91	17
84	92	16
85	94	15
86	95	14
87	96	13
88	97	12
89	98	10
90	99	9
91	100	8
92	101	7
93	102	6
94	103	5
95	104	4
96	106	3
97	107	2
98	108	1
99	109	0
